,date,headline
0,2018-04-30,UNICEF Creates Website for Charity Crypto Mining 
1,2018-04-30,Circle Invest Adds Zcash (ZEC) to List of Offerings on App 
2,2018-04-30,Cryptocurrency Market Remains Robust Despite Warren Buffett Criticism 
3,2018-04-30,Warren Buffett on Bitcoin (BTC): Bitcoin is a Gamble 
4,2018-04-30,William Mougayar to Launch Investment Firm to Fund Blockchain Projects 
5,2018-04-30,Cardano Overtakes Litecoin’s: Pos Algorithm is Solved 
6,2018-04-30,"TRON (TRX), EOS, and Cardano (ADA): What Happened? "
7,2018-04-30,"BitShares (BTS) and Lisk (LSK): Big News, Big Gains "
8,2018-04-27,"EOS, TRON (TRX), and Stellar (XLM): We Have Liftoff! "
9,2018-04-26,The Craziest Bitcoin Predictions for 2018 
10,2018-04-26,Should Deutsche Bank Become a Crypto Exchange? This Analyst Says Yes. 
11,2018-04-26,Bithumb to List Kyber Network and OmiseGo – Good Idea? 
12,2018-04-26,"Verge (XVG), Stellar (XLM), Cardano (ADA): When You’re Up, You’re Up "
13,2018-04-26,Fundstrat Poll Shows Investors Believe in Bitcoin 
14,2018-04-25,U.S. Exchanges Carve a Niche in Crypto – Is This a Good Thing? 
15,2018-04-25,Winklevoss Twins Partner with Nasdaq for Crypto Monitoring 
16,2018-04-25,Daniel Masters: Cryptocurrencies ARE the Future 
17,2018-04-25,"Ripple (XRP), IOTA (MITOA), and NEO: Down, Down, Down "
18,2018-04-25,Ethereum Smart Contract Bug Causes Suspension of ERC20 Deposits 
19,2018-04-24,MIT Unveiled a Plan to Destroy Bitcoin (BTC) 
20,2018-04-24,Martin Lewis Files Lawsuit Against Facebook Over Crypto Scams 
21,2018-04-24,Cryptocurrency Market Surpass $420 Billion As Altcoins Shine 
22,2018-04-24,"EOS and TRON (TRX): New Listings, New Updates "
23,2018-04-23,Yoshitaka Kitao Expects Ripple to Reach $10 by Year End 
24,2018-04-23,Shift Card is Accepted at 38 Million Merchants Worldwide 
25,2018-04-23,Litecoin Recovers from LitePay’s Hard Hit 
26,2018-04-23,"Litecoin (LTC) and TRON (TRX): Big News, Big Progress "
27,2018-04-23,Bitcoin to be Bigger than the Internet? Tim Draper Thinks So 
28,2018-04-23,Coinbase has Blocked WikiLeaks: A Controversy has Kicked Off 
29,2018-04-23,Sending $100M on the Litecoin Blockchain Took 2.5 Minutes 
30,2018-04-23,JPMorgan Tests Blockchain Platform to Help Debt Issuance Process 
31,2018-04-20,Asian Authorities Stop Two Crypto Scams 
32,2018-04-20,Crypto Markets Continue the Upswing – What are People Saying? 
33,2018-04-20,"Ripple (XRP), EOS, and IOTA (MIOTA): Ending the Week Strong "
34,2018-04-19,IBM and Bank of Montreal (BMO) Finally Launch Live Blockchain Payment Pilot 
35,2018-04-19,"Cardano (ADA), IOTA (MIOTA), and Monero (XMR): Continue to Grow "
36,2018-04-18,"Verge (XVG), Dash, and Lisk (LSK): Spring has Sprung? "
37,2018-04-18,"Verge Price Collapse, But Monero Coin Soars "
38,2018-04-18,Bitcoin Price: Bitcoin Continues to Flirt with the $8000 Mark 
39,2018-04-17,Pornhub Accepting Verge (XVG)- The People Have Spoken 
40,2018-04-17,"EOS, Litecoin (LTC), and Stellar (XLM): Shifting Back into the Green "
41,2018-04-17,Crypto Exchange Kraken Closes Doors to Japan 
42,2018-04-16,Brian Kelly Predicts Huge Growth For Bitcoin 
43,2018-04-16,Three Former Google Employees Create Blockchain Community 
44,2018-04-16,"The Crypto Markets are Down, But People Aren’t Worried – Here’s Why "
45,2018-04-16,Cryptocurrencies for Kids: A New Business Opportunity On The Crypto Sphere 
46,2018-04-16,"Ripple (XRP), TRON (TRX), and Lisk (LSK): Struggling to Resurface "
47,2018-04-16,"Despite the Risks – Crypto is Popular in Russia, New Study Finds "
48,2018-04-16,Samsung Electronics Co is Now Exploring Blockchain Technology for Global Shipments 
49,2018-04-16,MasterCard Blockchain: Payment Solutions and Fake IDs 
50,2018-04-16,Bitcoin at 250k? Another Expert Supports This Prediction 
51,2018-04-13,Green Earth Tokens: Save the Rainforest with Crypto 
52,2018-04-13,Mason County in Washington Halts Crypto Mining Projects 
53,2018-04-13,Crypto Risks: The Central Bank of Kenya Joins Conversation 
54,2018-04-13,Crypto Taxes – Credit Karma Reports 0.04% of Users Reported Cryptocurrency to IRS 
55,2018-04-13,Crypto Trading App BISON Launches in September – Here’s What to Expect 
56,2018-04-13,Latest Bitcoin Scandal – What Happened in Singapore? 
57,2018-04-13,"Ripple (XRP), EOS, and Cardano (ADA): Here’s the Update "
58,2018-04-13,Can Blockchain Help the Data Crisis? Not Likely – Here’s Why 
59,2018-04-13,"Bitcoin (BTC) to Reach $250,000 by 2022, says Billionaire Tim Draper "
60,2018-04-13,"Coinsecure Crypto Exchange Loses $3.5 Million, Blames Security Chief "
61,2018-04-12,The Blockchain Community is Changing the World 
62,2018-04-12,Cryptocurrency Markets Are Likely To Increase – Data Shows 
63,2018-04-12,"Bitcoin (BTC) to Hit $25,000? Crypto Bull Thomas Lee Thinks So "
64,2018-04-12,OKEx Team Follows Binance’s And Announce They Will Move to Malta Too 
65,2018-04-12,"Coins to Buy: EOS, Cardano [ADA], and Tron [TRX] "
66,2018-04-12,"Verge (XVG), Stellar (XLM), and EOS: Here’s What’s Happening "
67,2018-04-12,"Ripple (XRP), Cardano (ADA), & DASH Uptrend – Time to Buy? "
68,2018-04-12,Bittrex Exchange is Now Accepting New Investors – Again 
69,2018-04-12,Indian Crypto Exchanges Consider Relocating in Response to Indian Crypto Ban 
70,2018-04-12,"Bitcoin Price: BTC Skyrockets $1,000 in Just 60 Minutes, but Why? "
71,2018-04-11,“The Greatest Bubble in History”: Bank of America “Kills” Bitcoin for 278th Time 
72,2018-04-11,JPMorgan Chase Busted for Unexplained Crypto Charges – Jamie Dimon has some Explaining to do 
73,2018-04-11,Timothy Enneking Believes the Cryptocurrency Bear Market Is Ending 
74,2018-04-11,Litecoin (LTC) Added to TenX Wallet App – Is there a Litecoin Debit on the Horizon Again? 
75,2018-04-11,Ripple (XRP) Invests $25 Million in Blockchain Fund 
76,2018-04-11,"EOS, NEO, Ethereum [ETH], and Icon [ICX] – Lift Off "
77,2018-04-11,22 EU Countries Sign Blockchain Partnership – Progress Made 
78,2018-04-10,Fake Twitter Accounts and Scam Giveaways – A Problem for Crypto? 
79,2018-04-10,"Verge (XVG), Ripple (XRP), and IOTA (MIOTA): Climbing the Long Haul "
