date,headline,sentiment
4/30/18,UNICEF Creates Website for Charity Crypto Mining ,-0.1
4/30/18,Circle Invest Adds Zcash (ZEC) to List of Offerings on App ,-0.3
4/30/18,Cryptocurrency Market Remains Robust Despite Warren Buffett Criticism ,0.7
4/30/18,Warren Buffett on Bitcoin (BTC): Bitcoin is a Gamble ,0
4/30/18,William Mougayar to Launch Investment Firm to Fund Blockchain Projects ,-0.1
4/30/18,Cardano Overtakes Litecoin’s: Pos Algorithm is Solved ,0.7
4/30/18,"TRON (TRX), EOS, and Cardano (ADA): What Happened? ",-0.6
4/30/18,"BitShares (BTS) and Lisk (LSK): Big News, Big Gains ",0.7
4/27/18,"EOS, TRON (TRX), and Stellar (XLM): We Have Liftoff! ",0.8
4/26/18,The Craziest Bitcoin Predictions for 2018 ,0.3
4/26/18,Should Deutsche Bank Become a Crypto Exchange? This Analyst Says Yes. ,0
4/26/18,Bithumb to List Kyber Network and OmiseGo – Good Idea? ,0.4
4/26/18,"Verge (XVG), Stellar (XLM), Cardano (ADA): When You’re Up, You’re Up ",0.8
4/26/18,Fundstrat Poll Shows Investors Believe in Bitcoin ,0.3
4/25/18,U.S. Exchanges Carve a Niche in Crypto – Is This a Good Thing? ,0.7
4/25/18,Winklevoss Twins Partner with Nasdaq for Crypto Monitoring ,0
4/25/18,Daniel Masters: Cryptocurrencies ARE the Future ,0
4/25/18,"Ripple (XRP), IOTA (MITOA), and NEO: Down, Down, Down ",-0.2
4/25/18,Ethereum Smart Contract Bug Causes Suspension of ERC20 Deposits ,-0.7
4/24/18,MIT Unveiled a Plan to Destroy Bitcoin (BTC) ,0.2
4/24/18,Martin Lewis Files Lawsuit Against Facebook Over Crypto Scams ,-0.9
4/24/18,Cryptocurrency Market Surpass $420 Billion As Altcoins Shine ,0.3
4/24/18,"EOS and TRON (TRX): New Listings, New Updates ",-0.3
4/23/18,Yoshitaka Kitao Expects Ripple to Reach $10 by Year End ,-0.3
4/23/18,Shift Card is Accepted at 38 Million Merchants Worldwide ,0.1
4/23/18,Litecoin Recovers from LitePay’s Hard Hit ,0
4/23/18,"Litecoin (LTC) and TRON (TRX): Big News, Big Progress ",0.5
4/23/18,Bitcoin to be Bigger than the Internet? Tim Draper Thinks So ,0
4/23/18,Coinbase has Blocked WikiLeaks: A Controversy has Kicked Off ,-0.8
4/23/18,Sending $100M on the Litecoin Blockchain Took 2.5 Minutes ,-0.3
4/23/18,JPMorgan Tests Blockchain Platform to Help Debt Issuance Process ,0.4
4/20/18,Asian Authorities Stop Two Crypto Scams ,-0.5
4/20/18,Crypto Markets Continue the Upswing – What are People Saying? ,-0.4
4/20/18,"Ripple (XRP), EOS, and IOTA (MIOTA): Ending the Week Strong ",0
4/19/18,IBM and Bank of Montreal (BMO) Finally Launch Live Blockchain Payment Pilot ,0.2
4/19/18,"Cardano (ADA), IOTA (MIOTA), and Monero (XMR): Continue to Grow ",0.2
4/18/18,"Verge (XVG), Dash, and Lisk (LSK): Spring has Sprung? ",0
4/18/18,"Verge Price Collapse, But Monero Coin Soars ",0.4
4/18/18,Bitcoin Price: Bitcoin Continues to Flirt with the $8000 Mark ,0
4/17/18,Pornhub Accepting Verge (XVG)- The People Have Spoken ,0.4
4/17/18,"EOS, Litecoin (LTC), and Stellar (XLM): Shifting Back into the Green ",0.7
4/17/18,Crypto Exchange Kraken Closes Doors to Japan ,-0.1
4/16/18,Brian Kelly Predicts Huge Growth For Bitcoin ,0.5
4/16/18,Three Former Google Employees Create Blockchain Community ,-0.5
4/16/18,"The Crypto Markets are Down, But People Aren’t Worried – Here’s Why ",0
4/16/18,Cryptocurrencies for Kids: A New Business Opportunity On The Crypto Sphere ,0.8
4/16/18,"Ripple (XRP), TRON (TRX), and Lisk (LSK): Struggling to Resurface ",-0.4
4/16/18,"Despite the Risks – Crypto is Popular in Russia, New Study Finds ",0.8
4/16/18,Samsung Electronics Co is Now Exploring Blockchain Technology for Global Shipments ,0.3
4/16/18,MasterCard Blockchain: Payment Solutions and Fake IDs ,-0.9
4/16/18,Bitcoin at 250k? Another Expert Supports This Prediction ,0.4
4/13/18,Green Earth Tokens: Save the Rainforest with Crypto ,0.1
4/13/18,Mason County in Washington Halts Crypto Mining Projects ,0
4/13/18,Crypto Risks: The Central Bank of Kenya Joins Conversation ,0
4/13/18,Crypto Taxes – Credit Karma Reports 0.04% of Users Reported Cryptocurrency to IRS ,-0.7
4/13/18,Crypto Trading App BISON Launches in September – Here’s What to Expect ,0.1
4/13/18,Latest Bitcoin Scandal – What Happened in Singapore? ,-0.5
4/13/18,"Ripple (XRP), EOS, and Cardano (ADA): Here’s the Update ",0.1
4/13/18,Can Blockchain Help the Data Crisis? Not Likely – Here’s Why ,-0.4
4/13/18,"Bitcoin (BTC) to Reach $250,000 by 2022, says Billionaire Tim Draper ",0
4/13/18,"Coinsecure Crypto Exchange Loses $3.5 Million, Blames Security Chief ",-0.1
4/12/18,The Blockchain Community is Changing the World ,0
4/12/18,Cryptocurrency Markets Are Likely To Increase – Data Shows ,0
4/12/18,"Bitcoin (BTC) to Hit $25,000? Crypto Bull Thomas Lee Thinks So ",0
