date,open,high,low,close,volume,mkt_cap
2018-04-03,5.9,6.19,5.82,6.13,306369000,4529740000
2018-04-02,5.68,5.96,5.56,5.89,314995000,4348740000
2018-04-01,6.0,6.04,5.25,5.66,401303000,4580830000
2018-03-31,6.11,6.22,5.96,5.99,224213000,4650950000
2018-03-30,6.03,6.2,5.86,6.1,506610000,4576620000
2018-03-29,6.31,6.37,5.92,6.02,626903000,4777000000
2018-03-28,5.88,6.55,5.82,6.29,616042000,4442050000
2018-03-27,5.9,6.44,5.28,5.91,877543000,4447060000
2018-03-26,6.53,6.57,5.42,5.9,553672000,4906950000
2018-03-25,6.6,6.76,6.49,6.52,274460000,4947110000
2018-03-24,6.99,7.12,6.63,6.63,357179000,5218490000
2018-03-23,7.02,7.14,6.42,7.01,846830000,5227640000
2018-03-22,7.01,7.34,6.32,7.03,1062430000,5202800000
2018-03-21,6.07,7.24,5.98,7.03,765790000,4492160000
2018-03-20,6.17,6.4,5.45,6.01,667072000,4553120000
2018-03-19,4.71,6.36,4.57,6.36,660669000,3468420000
2018-03-18,4.65,4.68,3.95,4.65,333501000,3417960000
2018-03-17,5.09,5.11,4.61,4.67,140080000,3725280000
2018-03-16,5.18,5.32,4.95,5.09,184719000,3785350000
2018-03-15,5.35,5.38,4.87,5.17,293299000,3899390000
2018-03-14,5.87,5.97,5.25,5.34,210733000,4266070000
2018-03-13,5.82,5.98,5.66,5.86,199199000,4213560000
2018-03-12,6.15,6.23,5.72,5.83,206551000,4441010000
2018-03-11,5.79,6.24,5.61,6.14,271829000,4165570000
2018-03-10,6.17,6.5,5.8,5.8,309653000,4434700000
2018-03-09,6.2,6.24,5.38,6.13,429201000,4444670000
2018-03-08,6.51,6.76,6.12,6.2,299365000,4651410000
2018-03-07,7.25,7.37,6.17,6.51,423460000,5162590000
2018-03-06,8.0,8.0,7.16,7.25,233026000,5682730000
2018-03-05,8.18,8.29,8.05,8.05,183715000,5786710000
2018-03-04,8.0,8.18,7.79,8.18,195810000,5638260000
2018-03-03,8.11,8.3,7.96,8.0,141850000,5702860000
2018-03-02,8.68,8.74,8.03,8.09,211631000,6086740000
2018-03-01,8.39,8.63,8.3,8.63,214126000,5859140000
2018-02-28,8.53,9.22,8.41,8.41,380053000,5940670000
2018-02-27,8.17,8.87,8.03,8.57,330185000,5670740000
2018-02-26,7.9,8.44,7.63,8.13,251185000,5472730000
2018-02-25,8.18,8.19,7.7,7.9,173549000,5646680000
2018-02-24,8.57,8.72,7.95,8.19,241757000,5900520000
2018-02-23,8.05,8.77,7.92,8.58,284365000,5523260000
2018-02-22,8.74,8.91,7.98,8.09,295638000,5965230000
2018-02-21,9.27,9.31,8.53,8.76,298553000,6315770000
2018-02-20,9.69,10.01,9.26,9.28,305781000,6586160000
2018-02-19,9.37,9.79,9.36,9.68,225362000,6355840000
2018-02-18,10.16,10.2,9.23,9.38,353808000,6860990000
2018-02-17,10.01,10.18,9.93,10.15,276849000,6746400000
2018-02-16,10.15,10.24,9.7,10.02,249798000,6817050000
2018-02-15,9.94,10.3,9.77,10.17,392065000,6656240000
2018-02-14,9.23,10.02,9.17,9.97,480309000,6160920000
2018-02-13,9.18,9.27,8.7,9.21,365436000,6113090000
2018-02-12,8.45,9.29,8.45,9.18,353976000,5609460000
2018-02-11,9.09,9.09,8.17,8.41,408013000,6007740000
2018-02-10,9.61,10.3,8.66,9.1,609066000,6334330000
2018-02-09,8.5,9.66,8.16,9.65,507606000,5584730000
2018-02-08,7.66,8.59,7.66,8.51,542068000,5019680000
2018-02-07,8.35,8.65,7.56,7.61,762884000,5439430000
2018-02-06,7.17,8.46,5.85,8.34,1304850000,4659180000
2018-02-05,8.68,8.85,6.94,7.06,640159000,5618380000
2018-02-04,9.77,10.17,8.45,8.61,588172000,6306870000
2018-02-03,9.77,10.39,8.59,9.84,736278000,6290740000
2018-02-02,10.17,10.22,7.64,9.79,1534140000,6528440000
2018-02-01,12.24,12.4,9.9,10.21,919859000,7826060000
2018-01-31,11.46,12.33,10.42,12.2,1008810000,7309740000
2018-01-30,14.03,14.03,11.3,11.56,980342000,8918290000
2018-01-29,15.03,15.17,13.8,14.01,565307000,9524430000
2018-01-28,14.34,15.04,14.34,15.02,646950000,9057850000
2018-01-27,14.34,14.63,13.97,14.27,653831000,9027390000
2018-01-26,14.28,14.73,13.22,14.34,1444040000,8958130000
2018-01-25,13.96,14.93,13.7,14.31,1546860000,8734500000
2018-01-24,13.01,13.86,12.63,13.83,1050800000,8112750000
2018-01-23,13.57,13.81,11.87,12.97,1614680000,8432510000
2018-01-22,13.54,15.18,12.85,13.66,2902200000,8385480000
2018-01-21,15.66,15.66,12.39,13.44,2887800000,9666480000
2018-01-20,11.25,15.76,11.25,15.52,2777450000,6920580000
2018-01-19,10.38,11.77,9.92,11.18,845596000,6365040000
2018-01-18,10.2,11.27,9.89,10.51,1266300000,6230180000
2018-01-17,10.2,10.57,7.67,10.19,1625250000,6209050000
2018-01-16,12.96,13.04,8.6,10.28,1599730000,7857840000
2018-01-15,13.42,14.83,12.92,12.94,806381000,8110090000
2018-01-14,16.17,16.17,13.31,13.44,1162420000,9718770000
2018-01-13,13.92,18.71,13.54,16.23,3379130000,8336870000
2018-01-12,11.4,15.34,10.78,13.75,2449370000,6804430000
2018-01-11,11.33,12.42,9.31,11.35,1161850000,6741700000
2018-01-10,9.33,11.63,8.68,11.34,1211790000,5534140000
2018-01-09,9.67,9.76,8.99,9.33,546937000,5711470000
2018-01-08,12.51,12.58,8.44,9.69,697175000,7367780000
2018-01-07,12.77,13.37,12.09,12.52,781497000,7495320000
2018-01-06,10.81,12.58,10.46,12.58,688819000,6324240000
2018-01-05,11.23,11.51,10.4,10.84,618755000,6549910000
2018-01-04,10.45,11.97,10.29,11.28,1204970000,6076410000
2018-01-03,9.32,10.23,8.85,10.23,529459000,5394840000
2018-01-02,8.91,9.78,8.91,9.33,552189000,5144580000
2018-01-01,8.77,9.11,8.51,8.84,331073000,5041600000
2017-12-31,8.51,8.97,8.44,8.77,312308000,4876510000
2017-12-30,9.46,9.5,8.35,8.56,499400000,5402020000
2017-12-29,9.6,9.87,9.22,9.44,448090000,5459440000
2017-12-28,10.54,10.57,8.41,9.57,478886000,5978450000
2017-12-27,9.83,10.81,9.79,10.56,530216000,5551810000
2017-12-26,9.77,10.1,9.63,9.82,336595000,5497600000
2017-12-25,8.2,9.81,7.92,9.77,337893000,4597290000
2017-12-24,8.51,8.56,7.26,8.14,192175000,4753620000
2017-12-23,7.97,9.48,7.95,8.48,233174000,4437100000
2017-12-22,10.66,10.67,6.69,7.84,612398000,5898340000
2017-12-21,11.96,13.18,10.08,10.6,349756000,6591520000
2017-12-20,12.45,12.6,10.37,11.99,775977000,6840160000
2017-12-19,9.24,12.9,9.23,12.38,1688240000,5057770000
2017-12-18,8.22,9.39,7.67,9.21,577650000,4478700000
2017-12-17,8.6,8.98,8.21,8.22,361464000,4673800000
2017-12-16,8.14,9.26,8.13,8.61,540462000,4405780000
2017-12-15,8.41,8.41,6.88,8.13,640458000,4531340000
2017-12-14,7.24,8.74,7.17,8.4,613600000,3887060000
2017-12-13,5.32,7.3,5.05,7.3,663821000,2846320000
2017-12-12,4.38,5.73,4.26,5.3,266450000,2331870000
2017-12-11,3.77,4.48,3.73,4.36,153155000,2000150000
2017-12-10,4.07,4.07,3.55,3.77,98890000,2152680000
2017-12-09,4.28,4.68,3.8,4.06,133142000,2254300000
2017-12-08,3.99,4.59,3.74,4.29,149508000,2093350000
2017-12-07,4.52,4.52,3.56,3.99,183666000,2358120000
2017-12-06,4.27,5.1,4.2,4.55,200253000,2219990000
2017-12-05,4.06,4.47,3.69,4.24,181418000,2107440000
2017-12-04,3.61,4.13,3.5,4.03,163900000,1865930000
2017-12-03,3.94,4.12,3.44,3.61,132280000,2026220000
2017-12-02,3.24,3.99,3.21,3.92,163479000,1661260000
2017-12-01,2.83,3.24,2.73,3.24,74402000,1443760000
2017-11-30,2.76,2.99,2.54,2.85,92059600,1401530000
2017-11-29,2.79,3.33,2.54,2.71,133125000,1407010000
2017-11-28,2.86,3.07,2.75,2.75,98904100,1440200000
2017-11-27,2.46,2.94,2.38,2.86,126962000,1229350000
2017-11-26,2.05,2.66,1.94,2.46,116846000,1023900000
2017-11-25,1.88,2.06,1.79,2.05,48591800,934125000
2017-11-24,1.89,1.91,1.73,1.88,44111800,936708000
2017-11-23,1.89,1.98,1.85,1.89,42235000,929842000
2017-11-22,1.91,1.98,1.79,1.89,44297600,937115000
2017-11-21,2.0,2.11,1.85,1.9,56022900,976585000
2017-11-20,1.89,2.04,1.83,1.99,55477200,917196000
2017-11-19,1.92,2.03,1.77,1.88,55081600,928877000
2017-11-18,1.74,1.98,1.66,1.93,52951400,840206000
2017-11-17,1.66,1.82,1.6,1.75,50782500,797405000
2017-11-16,1.67,1.84,1.57,1.65,64675200,800620000
2017-11-15,1.68,1.74,1.54,1.67,64150700,794660000
2017-11-14,1.18,1.67,1.18,1.67,107326000,555067000
2017-11-13,1.09,1.19,1.08,1.18,20848600,513122000
2017-11-12,1.16,1.18,1.04,1.09,29229800,541171000
2017-11-11,1.03,1.18,1.01,1.16,27539300,478130000
2017-11-10,1.18,1.18,0.9948799999999999,1.03,23024200,546866000
2017-11-09,1.13,1.21,1.13,1.18,24725800,521918000
2017-11-08,0.9510200000000001,1.18,0.947023,1.13,37971000,436217000
2017-11-07,0.9211450000000001,0.987035,0.9211450000000001,0.951407,16941200,417944000
2017-11-06,1.07,1.07,0.914666,0.91695,26059800,481154000
2017-11-05,1.11,1.16,0.9853190000000001,1.09,32996400,498621000
2017-11-04,1.2,1.29,1.06,1.12,37546000,536628000
2017-11-03,1.12,1.39,1.06,1.21,59247900,496753000
2017-11-02,1.05,1.27,0.9243239999999999,1.12,68358600,462451000
2017-11-01,0.785862,1.27,0.758617,1.05,74917400,345787000
2017-10-31,0.7127020000000001,0.781782,0.672324,0.781782,16200000,312268000
2017-10-30,0.667644,0.7421939999999999,0.6461140000000001,0.711433,20481800,291212000
2017-10-29,0.536399,0.680899,0.536399,0.6658810000000001,19902600,232441000
2017-10-28,0.522242,0.539194,0.521951,0.5363680000000001,5960600,225217000
2017-10-27,0.518989,0.52354,0.5027149999999999,0.5221180000000001,4730120,223174000
2017-10-26,0.50434,0.52974,0.502833,0.518944,5314240,215751000
2017-10-25,0.5149020000000001,0.5201060000000001,0.49745200000000006,0.504073,5046620,219135000
2017-10-24,0.49278999999999995,0.5310229999999999,0.48272600000000004,0.514935,7089410,208860000
2017-10-23,0.517658,0.5186569999999999,0.480196,0.493225,6162350,218357000
2017-10-22,0.526479,0.538859,0.504792,0.5179699999999999,5538990,221105000
2017-10-21,0.540259,0.541115,0.512558,0.526792,7066060,226053000
2017-10-20,0.5666260000000001,0.5796060000000001,0.540684,0.540684,6150650,235831000
2017-10-19,0.545624,0.59005,0.544242,0.566708,8084770,225606000
2017-10-18,0.554269,0.560554,0.514188,0.546006,7320330,228420000
2017-10-17,0.562389,0.564163,0.5441229999999999,0.552144,6374050,230284000
2017-10-16,0.571853,0.581349,0.561856,0.561856,6005900,232974000
2017-10-15,0.58344,0.586516,0.563429,0.571914,6573060,236824000
2017-10-14,0.584829,0.618572,0.5781189999999999,0.582836,6436220,235451000
2017-10-13,0.591619,0.614803,0.56772,0.58397,8587370,237037000
2017-10-12,0.610294,0.632223,0.584208,0.591723,8681880,243333000
2017-10-11,0.556461,0.626727,0.552679,0.610223,8705650,220811000
