"id","title","units"
"DCOILWTICO","Crude Oil Prices: West Texas Intermediate (WTI) - Cushing, Oklahoma","Dollars per Barrel"
"DCOILBRENTEU","Crude Oil Prices: Brent - Europe","Dollars per Barrel"
"DHHNGSP","Henry Hub Natural Gas Spot Price","Dollars per Million BTU"
"GOLDPMGBD228NLBM","Gold Fixing Price 3:00 P.M. (London time) in London Bullion Market, based in U.S. Dollars","U.S. Dollars per Troy Ounce"
"DHOILNYH","No. 2 Heating Oil Prices: New York Harbor","Dollars per Gallon"
"DTWEXB","Trade Weighted U.S. Dollar Index: Broad","Index Jan 1997=100"
"DEXUSEU","U.S. / Euro Foreign Exchange Rate","U.S. Dollars to One Euro"
"DEXUSUK","U.S. / U.K. Foreign Exchange Rate","U.S. Dollars to One British Pound"
"DEXCHUS","China / U.S. Foreign Exchange Rate","Chinese Yuan to One U.S. Dollar"
"T10YIE","10-Year Breakeven Inflation Rate","Percent"
"DAAA","Moody's Seasoned Aaa Corporate Bond Yield","Percent"
"DTB1YR","1-Year Treasury Bill: Secondary Market Rate","Percent"
"T5YIE","5-Year Breakeven Inflation Rate","Percent"
"RU2000PR","Russell 2000® Price Index","Index"
"NASDAQ100","NASDAQ 100 Index","Index"
"NASDAQCOM","NASDAQ Composite Index","Index Feb 5, 1971=100"
"DJIA","Dow Jones Industrial Average","Index"
"SP500","S&P 500","Index"
"VIXCLS","CBOE Volatility Index: VIX","Index"
"OVXCLS","CBOE Crude Oil ETF Volatility Index","Index"
"VXOCLS","CBOE S&P 100 Volatility Index: VXO","Index"
"GVZCLS","CBOE Gold ETF Volatility Index","Index"
"VXDCLS","CBOE DJIA Volatility Index","Index"
"VXNCLS","CBOE NASDAQ 100 Volatility Index","Index"
"VXSLVCLS","CBOE Silver ETF Volatility Index","Index"
"VXGSCLS","CBOE Equity VIX on Goldman Sachs","Index"
"EVZCLS","CBOE EuroCurrency ETF Volatility Index","Index"
"VXFXICLS","CBOE China ETF Volatility Index","Index"
"VXEWZCLS","CBOE Brazil ETF Volatility Index","Index"
"NIKKEI225","Nikkei Stock Average, Nikkei 225","Index"
